=================================
     Train and test QA model     
=================================
Start training...
step 1 | Training...
step 29773 | Training...
step 29774 | Training...
step 29775 | Training...
step 29776 | Training...
step 29777 | Training...
step 29778 | Training...
step 29779 | Training...
step 29780 | Training...
step 29781 | Training...
step 29782 | Training...
step 29783 | Training...
step 29784 | Training...
step 29785 | Training...
step 29786 | Training...
step 29787 | Training...
step 29788 | Training...
step 29789 | Training...
step 29790 | Training...
step 29791 | Training...
step 29792 | Training...
step 29793 | Training...
step 29794 | Training...
step 29795 | Training...
step 29796 | Training...
step 29797 | Training...
step 29798 | Training...
step 29799 | Training...
step 29800 | Training...
step 29801 | Training...
step 29802 | Training...
step 29803 | Training...
step 29804 | Training...
step 29805 | Training...
step 29806 | Training...
step 29807 | Training...
step 29808 | Training...
step 29809 | Training...
step 29810 | Training...
step 29811 | Training...
step 29812 | Training...
step 29813 | Training...
step 29814 | Training...
step 29815 | Training...
step 29816 | Training...
step 29817 | Training...
step 29818 | Training...
step 29819 | Training...
step 29820 | Training...
step 29821 | Training...
step 29822 | Training...
step 29823 | Training...
step 29824 | Training...
step 29825 | Training...
step 29826 | Training...
step 29827 | Training...
step 29828 | Training...
step 29829 | Training...
step 29830 | Training...
step 29831 | Training...
step 29832 | Training...
step 29833 | Training...
step 29834 | Training...
step 29835 | Training...
step 29836 | Training...
step 29837 | Training...
step 29838 | Training...
step 29839 | Training...
step 29840 | Training...
step 29841 | Training...
step 29842 | Training...
step 29843 | Training...
step 29844 | Training...
step 29845 | Training...
step 29846 | Training...
step 29847 | Training...
step 29848 | Training...
step 29849 | Training...
step 29850 | Training...
step 29851 | Training...
step 29852 | Training...
step 29853 | Training...
step 29854 | Training...
step 29855 | Training...
step 29856 | Training...
step 29857 | Training...
step 29858 | Training...
step 29859 | Training...
step 29860 | Training...
step 29861 | Training...
step 29862 | Training...
step 29863 | Training...
step 29864 | Training...
step 29865 | Training...
step 29866 | Training...
step 29867 | Training...
step 29868 | Training...
step 29869 | Training...
step 29870 | Training...
step 29871 | Training...
step 29872 | Training...
step 29873 | Training...
step 29874 | Training...
step 29875 | Training...
step 29876 | Training...
step 29877 | Training...
step 29878 | Training...
step 29879 | Training...
step 29880 | Training...
step 29881 | Training...
step 29882 | Training...
step 29883 | Training...
step 29884 | Training...
step 29885 | Training...
step 29886 | Training...
step 29887 | Training...
step 29888 | Training...
step 29889 | Training...
step 29890 | Training...
step 29891 | Training...
step 29892 | Training...
step 29893 | Training...
step 29894 | Training...
step 29895 | Training...
step 29896 | Training...
step 29897 | Training...
step 29898 | Training...
step 29899 | Training...
step 29900 | Training...
step 29901 | Training...
step 29902 | Training...
step 29903 | Training...
step 29904 | Training...
step 29905 | Training...
step 29906 | Training...
step 29907 | Training...
step 29908 | Training...
step 29909 | Training...
step 29910 | Training...
step 29911 | Training...
step 29912 | Training...
step 29913 | Training...
step 29914 | Training...
step 29915 | Training...
step 29916 | Training...
step 29917 | Training...
step 29918 | Training...
step 29919 | Training...
step 29920 | Training...
step 29921 | Training...
step 29922 | Training...
step 29923 | Training...
step 29924 | Training...
step 29925 | Training...
step 29926 | Training...
step 29927 | Training...
step 29928 | Training...
step 29929 | Training...
step 29930 | Training...
step 29931 | Training...
step 29932 | Training...
step 29933 | Training...
step 29934 | Training...
step 29935 | Training...
step 29936 | Training...
step 29937 | Training...
step 29938 | Training...
step 29939 | Training...
step 29940 | Training...
step 29941 | Training...
step 29942 | Training...
step 29943 | Training...
step 29944 | Training...
step 29945 | Training...
step 29946 | Training...
step 29947 | Training...
step 29948 | Training...
step 29949 | Training...
step 29950 | Training...
step 29951 | Training...
step 29952 | Training...
step 29953 | Training...
step 29954 | Training...
step 29955 | Training...
step 29956 | Training...
step 29957 | Training...
step 29958 | Training...
step 29959 | Training...
step 29960 | Training...
step 29961 | Training...
step 29962 | Training...
step 29963 | Training...
step 29964 | Training...
step 29965 | Training...
step 29966 | Training...
step 29967 | Training...
step 29968 | Training...
step 29969 | Training...
step 29970 | Training...
step 29971 | Training...
step 29972 | Training...
step 29973 | Training...
step 29974 | Training...
step 29975 | Training...
step 29976 | Training...
step 29977 | Training...
step 29978 | Training...
step 29979 | Training...
step 29980 | Training...
step 29981 | Training...
step 29982 | Training...
step 29983 | Training...
step 29984 | Training...
step 29985 | Training...
step 29986 | Training...
step 29987 | Training...
step 29988 | Training...
step 29989 | Training...
step 29990 | Training...
step 29991 | Training...
step 29992 | Training...
step 29993 | Training...
step 29994 | Training...
step 29995 | Training...
step 29996 | Training...
step 29997 | Training...
step 29998 | Training...
step 29999 | Training...
step 30000 | Training...
step 30000 | Validating...
5-best | val_em=48.52255, val_f1=51.15993 | test_em=0.00000, test_f1=0.00000
step 30001 | Training...
step 30002 | Training...
step 30003 | Training...
step 30004 | Training...
step 30005 | Training...
step 30006 | Training...
step 30007 | Training...
step 30008 | Training...
step 30009 | Training...
step 30010 | Training...
step 30011 | Training...
step 30012 | Training...
step 30013 | Training...
step 30014 | Training...
step 30015 | Training...
step 30016 | Training...
step 30017 | Training...
step 30018 | Training...
step 30019 | Training...
step 30020 | Training...
step 30021 | Training...
step 30022 | Training...
step 30023 | Training...
step 30024 | Training...
step 30025 | Training...
step 30026 | Training...
step 30027 | Training...
step 30028 | Training...
step 30029 | Training...
step 30030 | Training...
step 30031 | Training...
step 30032 | Training...
step 30033 | Training...
step 30034 | Training...
step 30035 | Training...
step 30036 | Training...
step 30037 | Training...
step 30038 | Training...
step 30039 | Training...
step 30040 | Training...
step 30041 | Training...
step 30042 | Training...
step 30043 | Training...
step 30044 | Training...
step 30045 | Training...
step 30046 | Training...
step 30047 | Training...
step 30048 | Training...
step 30049 | Training...
step 30050 | Training...
step 30051 | Training...
step 30052 | Training...
step 30053 | Training...
step 30054 | Training...
step 30055 | Training...
step 30056 | Training...
step 30057 | Training...
step 30058 | Training...
step 30059 | Training...
step 30060 | Training...
step 30061 | Training...
step 30062 | Training...
step 30063 | Training...
step 30064 | Training...
step 30065 | Training...
step 30066 | Training...
step 30067 | Training...
step 30068 | Training...
step 30069 | Training...
step 30070 | Training...
step 30071 | Training...
step 30072 | Training...
step 30073 | Training...
step 30074 | Training...
step 30075 | Training...
step 30076 | Training...
step 30077 | Training...
step 30078 | Training...
step 30079 | Training...
step 30080 | Training...
step 30081 | Training...
step 30082 | Training...
step 30083 | Training...
step 30084 | Training...
step 30085 | Training...
step 30086 | Training...
step 30087 | Training...
step 30088 | Training...
step 30089 | Training...
step 30090 | Training...
step 30091 | Training...
step 30092 | Training...
step 30093 | Training...
step 30094 | Training...
step 30095 | Training...
step 30096 | Training...
step 30097 | Training...
step 30098 | Training...
step 30099 | Training...
step 30100 | Training...
step 30101 | Training...
step 30102 | Training...
step 30103 | Training...
step 30104 | Training...
step 30105 | Training...
step 30106 | Training...
step 30107 | Training...
step 30108 | Training...
step 30109 | Training...
step 30110 | Training...
step 30111 | Training...
step 30112 | Training...
step 30113 | Training...
step 30114 | Training...
step 30115 | Training...
step 30116 | Training...
step 30117 | Training...
step 30118 | Training...
step 30119 | Training...
step 30120 | Training...
step 30121 | Training...
step 30122 | Training...
step 30123 | Training...
step 30124 | Training...
step 30125 | Training...
step 30126 | Training...
step 30127 | Training...
step 30128 | Training...
step 30129 | Training...
step 30130 | Training...
step 30131 | Training...
step 30132 | Training...
step 30133 | Training...
step 30134 | Training...
step 30135 | Training...
step 30136 | Training...
step 30137 | Training...
step 30138 | Training...
step 30139 | Training...
step 30140 | Training...
step 30141 | Training...
step 30142 | Training...
step 30143 | Training...
step 30144 | Training...
step 30145 | Training...
step 30146 | Training...
step 30147 | Training...
step 30148 | Training...
step 30149 | Training...
step 30150 | Training...
step 30151 | Training...
step 30152 | Training...
step 30153 | Training...
step 30154 | Training...
step 30155 | Training...
step 30156 | Training...
step 30157 | Training...
step 30158 | Training...
step 30159 | Training...
step 30160 | Training...
step 30161 | Training...
step 30162 | Training...
step 30163 | Training...
step 30164 | Training...
step 30165 | Training...
step 30166 | Training...
step 30167 | Training...
step 30168 | Training...
step 30169 | Training...
step 30170 | Training...
step 30171 | Training...
step 30172 | Training...
